2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=181, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=182, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=183, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=184, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=185, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=186, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=187, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=188, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=189, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=190, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=191, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=192, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=193, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=194, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=195, onoff=1 cctdlg.cpp:640
